Field Name,Field Path,Lucene Path,CV DOMAIN,Display Name,Lucene  Status,,Description,FinalField,Status,Data Type,Data to include,,,,,,,,,,,,,
Last Edited By,/modifications/physicalModifications/?/lastEditedBy,root_modifications_physicalModifications_lastEditedBy,,Physical Modification Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Modification Group,/modifications/physicalModifications/?/modificationGroup,root_modifications_physicalModifications_modificationGroup,,Physical Modification Modification Group,,,"A key specifying how this modification relates to other modifications. All modifications sharing a group key are considered to be occuring as part of a single process or event, or descriptive of the same change to the substance.",modificationGroup,Current,string,,,,,,,,,,,,,,
Parameters,/modifications/physicalModifications/?/parameters,,PHYSICAL_PARAMETERS,Physical Modification Parameters,REMOVE LUCENE PATH,,"The list of paramaters needed to define the conditions, context or environment of applicability for the property value specified.",parameters,Current,array <PhysicalModificationParameter>,,,,,,,,,,,,,,
Access,/modifications/physicalModifications/?/parameters/?/access,root_modifications_physicalModifications_parameters_access,ACCESS_GROUP,Physical Modification Parameter Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Amount,/modifications/physicalModifications/?/parameters/?/amount,,,Physical Modification Parameter Amount,REMOVE LUCENE PATH,,The amount or value which qualifies the paramater describing the physical modification (e.g. the temperature used in a heating process).,amount,Current,object <Amount>,,,,,,,,,,,,,,
Access,/modifications/physicalModifications/?/parameters/?/amount/access,root_modifications_physicalModifications_parameters_amount_access,ACCESS_GROUP,Physical Modification Amount Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/modifications/physicalModifications/?/parameters/?/amount/average,root_modifications_physicalModifications_parameters_amount_average,,Physical Modification Amount Average,,,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/modifications/physicalModifications/?/parameters/?/amount/created,root_modifications_physicalModifications_parameters_amount_created,,Physical Modification Amount Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/modifications/physicalModifications/?/parameters/?/amount/createdBy,root_modifications_physicalModifications_parameters_amount_createdBy,,Physical Modification Amount Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/modifications/physicalModifications/?/parameters/?/amount/deprecated,root_modifications_physicalModifications_parameters_amount_deprecated,,Physical Modification Amount Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
High Limit,/modifications/physicalModifications/?/parameters/?/amount/highLimit,root_modifications_physicalModifications_parameters_amount_highLimit,,Physical Modification Amount High Limit,,,The highest allowable numeric value usable for the amount. (highest limit).,highLimit,Current,number,,,,,,,,,,,,,,
Last Edited,/modifications/physicalModifications/?/parameters/?/amount/lastEdited,root_modifications_physicalModifications_parameters_amount_lastEdited,,Physical Modification Amount Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/modifications/physicalModifications/?/parameters/?/amount/lastEditedBy,root_modifications_physicalModifications_parameters_amount_lastEditedBy,,Physical Modification Amount Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Low Limit,/modifications/physicalModifications/?/parameters/?/amount/lowLimit,root_modifications_physicalModifications_parameters_amount_lowLimit,,Physical Modification Amount Low Limit,,,The lowest allowable numeric value usable for the amount. (lowest limit).,lowLimit,Current,number,,,,,,,,,,,,,,
Non Numeric Value,/modifications/physicalModifications/?/parameters/?/amount/nonNumericValue,root_modifications_physicalModifications_parameters_amount_nonNumericValue,,Physical Modification Amount Non-Numeric Value,,,"A textual description of a value which can not be quantified numerically. For example, ""solubility"" may be described quantitatively or it may be described with certain textual categories. Non-numeric values are meant to specify qualitative values and other values not easily described by numbers or ranges of numbers.",nonNumericValue,Current,string,,,,,,,,,,,,,,
References,/modifications/physicalModifications/?/parameters/?/amount/references,,,Physical Modification Amount References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Type,/modifications/physicalModifications/?/parameters/?/amount/type,root_modifications_physicalModifications_parameters_amount_type,AMOUNT_TYPE,Physical Modification Amount Type,,,"The type of the amount specified ('mol ratio'. 'degree of polymerization', 'weight ratio', 'other' etc.).",type,Current,string,,,,,,,,,,,,,,
Units,/modifications/physicalModifications/?/parameters/?/amount/units,root_modifications_physicalModifications_parameters_amount_units,AMOUNT_UNIT,Physical Modification Amount Units,,,The amount's unit of measurement.,units,Current,string,,,,,,,,,,,,,,
Uuid,/modifications/physicalModifications/?/parameters/?/amount/uuid,root_modifications_physicalModifications_parameters_amount_uuid,,Physical Modification Amount UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Created,/modifications/physicalModifications/?/parameters/?/created,root_modifications_physicalModifications_parameters_created,,Physical Modification Parameter Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/modifications/physicalModifications/?/parameters/?/createdBy,root_modifications_physicalModifications_parameters_createdBy,,Physical Modification Parameter Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/modifications/physicalModifications/?/parameters/?/deprecated,root_modifications_physicalModifications_parameters_deprecated,,Physical Modification Parameter Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/modifications/physicalModifications/?/parameters/?/lastEdited,root_modifications_physicalModifications_parameters_lastEdited,,Physical Modification Parameter Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/modifications/physicalModifications/?/parameters/?/lastEditedBy,root_modifications_physicalModifications_parameters_lastEditedBy,,Physical Modification Parameter Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Parameter Name,/modifications/physicalModifications/?/parameters/?/parameterName,root_modifications_physicalModifications_parameters_parameterName,,Physical Modification Parameter Parameter Name,,,The name of the paramater which qualifies / conditions the property's measurement or domain of applicability. .,parameterName,Current,string,,,,,,,,,,,,,,
References,/modifications/physicalModifications/?/parameters/?/references,,,Physical Modification Parameter References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Uuid,/modifications/physicalModifications/?/parameters/?/uuid,root_modifications_physicalModifications_parameters_uuid,,Physical Modification Parameter UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Physicalmodificationrole,/modifications/physicalModifications/?/physicalModificationRole,root_modifications_physicalModifications_physicalModificationRole,PHYSICAL_MODIFICATION_ROLE,Physical Modification Physical Modification Role,,,The role that the physical modification has in the process of the modification.,physicalModificationRole,Current,string,,,,,,,,,,,,,,
References,/modifications/physicalModifications/?/references,,,Physical Modification References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Uuid,/modifications/physicalModifications/?/uuid,root_modifications_physicalModifications_uuid,,Physical Modification UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
References,/modifications/references,,,Modification References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Access,/modifications/structuralModifications/?/access,root_modifications_structuralModifications_access,ACCESS_GROUP,Structural Modification Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Created,/modifications/structuralModifications/?/created,root_modifications_structuralModifications_created,,Structural Modification Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/modifications/structuralModifications/?/createdBy,root_modifications_structuralModifications_createdBy,,Structural Modification Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/modifications/structuralModifications/?/deprecated,root_modifications_structuralModifications_deprecated,,Structural Modification Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Extent,/modifications/structuralModifications/?/extent,root_modifications_structuralModifications_extent,EXTENT_TYPE,Structural Modification Extent,,,"The type of extent for the structural modification. ""Complete"" if the extent is considered to have 100% occupancy / replacement, ""partial"" otherwise.",extent,Current,string,,,,,,,,,,,,,,
Extent Amount,/modifications/structuralModifications/?/extentAmount,,,Structural Modification Extent Amount,REMOVE LUCENE PATH,,An amount quantifying the extent of the structural modification.,extentAmount,Current,object <Amount>,,,,,,,,,,,,,,
Access,/modifications/structuralModifications/?/extentAmount/access,root_modifications_structuralModifications_extentAmount_access,ACCESS_GROUP,Structural Modification Extent Amount Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/modifications/structuralModifications/?/extentAmount/average,root_modifications_structuralModifications_extentAmount_average,,Structural Modification Extent Amount Average,,,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/modifications/structuralModifications/?/extentAmount/created,root_modifications_structuralModifications_extentAmount_created,,Structural Modification Extent Amount Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/modifications/structuralModifications/?/extentAmount/createdBy,root_modifications_structuralModifications_extentAmount_createdBy,,Structural Modification Extent Amount Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/modifications/structuralModifications/?/extentAmount/deprecated,root_modifications_structuralModifications_extentAmount_deprecated,,Structural Modification Extent Amount Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
High,/modifications/structuralModifications/?/extentAmount/high,root_modifications_structuralModifications_extentAmount_high,,Structural Modification Extent Amount High,,,The highest numerical value likely for the average amount. (highest average).,high,Current,number,,,,,,,,,,,,,,
High Limit,/modifications/structuralModifications/?/extentAmount/highLimit,root_modifications_structuralModifications_extentAmount_highLimit,,Structural Modification Extent Amount High Limit,,,The highest allowable numeric value usable for the amount. (highest limit).,highLimit,Current,number,,,,,,,,,,,,,,
Last Edited,/modifications/structuralModifications/?/extentAmount/lastEdited,root_modifications_structuralModifications_extentAmount_lastEdited,,Structural Modification Extent Amount Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/modifications/structuralModifications/?/extentAmount/lastEditedBy,root_modifications_structuralModifications_extentAmount_lastEditedBy,,Structural Modification Extent Amount Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Low,/modifications/structuralModifications/?/extentAmount/low,root_modifications_structuralModifications_extentAmount_low,,Structural Modification Extent Amount Low,,,The lowest numerical value likely for the average amount. (lowest average).,low,Current,number,,,,,,,,,,,,,,
Low Limit,/modifications/structuralModifications/?/extentAmount/lowLimit,root_modifications_structuralModifications_extentAmount_lowLimit,,Structural Modification Extent Amount Low Limit,,,The lowest allowable numeric value usable for the amount. (lowest limit).,lowLimit,Current,number,,,,,,,,,,,,,,
Non Numeric Value,/modifications/structuralModifications/?/extentAmount/nonNumericValue,root_modifications_structuralModifications_extentAmount_nonNumericValue,,Structural Modification Extent Amount Non-Numeric Value,,,"A textual description of a value which can not be quantified numerically. For example, ""solubility"" may be described quantitatively or it may be described with certain textual categories. Non-numeric values are meant to specify qualitative values and other values not easily described by numbers or ranges of numbers.",nonNumericValue,Current,string,,,,,,,,,,,,,,
References,/modifications/structuralModifications/?/extentAmount/references,,,Structural Modification Extent Amount References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Type,/modifications/structuralModifications/?/extentAmount/type,root_modifications_structuralModifications_extentAmount_type,AMOUNT_TYPE,Structural Modification Extent Amount Type,,,The type of amount recorded for a modification of partial extent.,type,Current,string,,,,,,,,,,,,,,
Units,/modifications/structuralModifications/?/extentAmount/units,root_modifications_structuralModifications_extentAmount_units,AMOUNT_UNIT,Structural Modification Extent Amount Units,,,The amount's unit of measurement.,units,Current,string,,,,,,,,,,,,,,
Uuid,/modifications/structuralModifications/?/extentAmount/uuid,root_modifications_structuralModifications_extentAmount_uuid,,Structural Modification Extent Amount UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Last Edited,/modifications/structuralModifications/?/lastEdited,root_modifications_structuralModifications_lastEdited,,Structural Modification Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/modifications/structuralModifications/?/lastEditedBy,root_modifications_structuralModifications_lastEditedBy,,Structural Modification Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Location Type,/modifications/structuralModifications/?/locationType,root_modifications_structuralModifications_locationType,LOCATION_TYPE,Structural Modification Locationtype,,,"The type of location specification for a residue modified in a structural modification. (e.g. ""site-specific"" or ""residue-specific"").",locationType,Current,string,,,,,,,,,,,,,,
Modification Group,/modifications/structuralModifications/?/modificationGroup,root_modifications_structuralModifications_modificationGroup,,Structural Modification Modification Group,,,"A key specifying how this modification relates to other modifications. All modifications sharing a group key are considered to be occuring as part of a single process or event, or descriptive of the same change to the substance.",modificationGroup,Current,string,,,,,,,,,,,,,,
Access,/modifications/structuralModifications/?/molecularFragment/access,root_modifications_structuralModifications_molecularFragment_access,ACCESS_GROUP,Molecular Fragment Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Approval ID (UNII),/modifications/structuralModifications/?/molecularFragment/approvalID,root_modifications_structuralModifications_molecularFragment_approvalID,,Molecular Fragment Approval ID,,,"The Unique Ingredient Identifier (UNII, aka ""Approval ID"") is a unique ID generated for each substance record.",approvalID,Current,string,,,,,,,,,,,,,,
Created,/modifications/structuralModifications/?/molecularFragment/created,root_modifications_structuralModifications_molecularFragment_created,,Molecular Fragment Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/modifications/structuralModifications/?/molecularFragment/createdBy,root_modifications_structuralModifications_molecularFragment_createdBy,,Molecular Fragment Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/modifications/structuralModifications/?/molecularFragment/deprecated,root_modifications_structuralModifications_molecularFragment_deprecated,,Molecular Fragment Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Last Edited,/modifications/structuralModifications/?/molecularFragment/lastEdited,root_modifications_structuralModifications_molecularFragment_lastEdited,,Molecular Fragment Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/modifications/structuralModifications/?/molecularFragment/lastEditedBy,root_modifications_structuralModifications_molecularFragment_lastEditedBy,,Molecular Fragment Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Linking Id,/modifications/structuralModifications/?/molecularFragment/linkingID,root_modifications_structuralModifications_molecularFragment_linkingID,,Molecular Fragment Linking ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,"The approvalID of the record if it exists, otherwise some compact and exchangable ID useful for linking to the referenced record (often the first 8 chars of its uuid).",linkingID,Deprecated,string,,,,,,,,,,,,,,
References,/modifications/structuralModifications/?/molecularFragment/references,,,Molecular Fragment References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Ref Pname,/modifications/structuralModifications/?/molecularFragment/refPname,root_modifications_structuralModifications_molecularFragment_refPname,,Molecular Fragment Preferred Name,,,"The ""Priority Name"" (usually the display name) of the record being referenced.",refPname,Current,string,,,,,,,,,,,,,,
Refuuid,/modifications/structuralModifications/?/molecularFragment/refuuid,root_modifications_structuralModifications_molecularFragment_refuuid,,Molecular Fragment Refuuid,,,The UUID of the related record.,refuuid,Current,string,,,,,,,,,,,,,,
Substance Class,/modifications/structuralModifications/?/molecularFragment/substanceClass,root_modifications_structuralModifications_molecularFragment_substanceClass,,Molecular Fragment Substance Class,,,"This value wall always be ""reference"" if it is intended as a real reference and ""mention"" if it is a place-holder. However, it can also specify a full substance class, in which case the whole record reference object is meant to be a full entire record rather than a reference.",substanceClass,Current,string,,,,,,,,,,,,,,
Uuid,/modifications/structuralModifications/?/molecularFragment/uuid,root_modifications_structuralModifications_molecularFragment_uuid,,Molecular Fragment UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
References,/modifications/structuralModifications/?/references,,,Structural Modification References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Residue Modified,/modifications/structuralModifications/?/residueModified,root_modifications_structuralModifications_residueModified,,Structural Modification Residuemodified,,,The residue which was modified for the structural modification (necessary if the modification is residue specific instead of site-specific).,residueModified,Current,string,,,,,,,,,,,,,,
Sites,/modifications/structuralModifications/?/sites,,,Structural Modification Sites,REMOVE LUCENE PATH,,"A list of explicit detailed sites where the linkage is applicable. A linkage site is always describing how the nucleoside connects to the NEXT nucleoside in the series. So a sequence of length 2 will have only 1 linkage, specified at the 1st site (not the second).",sites,Current,array <Site>,,,,,,,,,,,,,,
Residue Index,/modifications/structuralModifications/?/sites/?/residueIndex,,,Structural Modification Site Residue Index,REMOVE LUCENE PATH,,The index of the residue on that subunit being specified.,residueIndex,Current,number,,,,,,,,,,,,,,
Subunit Index,/modifications/structuralModifications/?/sites/?/subunitIndex,,,Structural Modification Site Subunit Index,REMOVE LUCENE PATH,,The index of the subunit being specified.,subunitIndex,Current,number,,,,,,,,,,,,,,
Structural Modification Type,/modifications/structuralModifications/?/structuralModificationType,root_modifications_structuralModifications_structuralModificationType,STRUCTURAL_MODIFICATION_TYPE,Structural Modification Structural Modification Type,,,The type of structural modification.,structuralModificationType,Current,string,,,,,,,,,,,,,,
Uuid,/modifications/structuralModifications/?/uuid,root_modifications_structuralModifications_uuid,,Structural Modification UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Uuid,/modifications/uuid,root_modifications_uuid,,Modification UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Moieties,/moieties,,,Record Moieties,REMOVE LUCENE PATH,,"A list of the important component chemical structures which comprise a chemical substance, as well as their relative ratios to each other (especially important in the case of non-stoichiometric chemical substances). These ""moieties"" are typically the unique set of disconnected covalent structures found in the substance.",moieties,Current,array <Structure>,,,,,,,,,,,,,,
Access,/moieties/?/access,root_moieties_access,ACCESS_GROUP,Moiety Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Atropisomerism,/moieties/?/atropisomerism,root_moieties_structure_atropisomerism,ATROPISOMERISM,Moiety Atropisomerism,UPDATE LUCENE PATH & FIX BACKEND,,"Whether or not the record has atropisomerism, or has a chirality where a hindered rotation about a single bond as a resolt of steric or electronic constraints.",atropisomerism,Current,string,,,,,,,,,,,,,,
Charge,/moieties/?/charge,root_moieties_structure_charge,,Moiety Charge,UPDATE LUCENE PATH & FIX BACKEND,,The net charge of the structure.,charge,Current,number,,,,,,,,,,,,,,
Count,/moieties/?/count,root_moieties_structure_count,,Moiety Count,UPDATE LUCENE PATH & FIX BACKEND,,The exact number of times that the structure is repeated.,count,Current,number,,,,,,,,,,,,,,
Count Amount,/moieties/?/countAmount,,,Moiety Count Amount,REMOVE LUCENE PATH,,"The number of times that a structure is repeated in its referenced context, represented as an amount. This is particularly useful in defining ranges on amounts for moieties within non-stoichiometric chemicals.",countAmount,Current,object <Amount>,,,,,,,,,,,,,,
Access,/moieties/?/countAmount/access,root_moieties_countAmount_access,ACCESS_GROUP,Count Amount Access,,,"Marking the record or element as belonging to certain groups for use in tracking which groups should receive visibility, export and/or inclusion in specific reports.",access,Current,array <string>,,,,,,,,,,,,,,
Average,/moieties/?/countAmount/average,root_moieties_countAmount_average,,Count Amount Average,FIX INDEXING (BACKEND),,The amount's numeric average if present.,average,Current,number,,,,,,,,,,,,,,
Created,/moieties/?/countAmount/created,root_moieties_countAmount_created,,Count Amount Created,FIX INDEXING (BACKEND),,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/moieties/?/countAmount/createdBy,root_moieties_countAmount_createdBy,,Count Amount Created By,FIX INDEXING (BACKEND),,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Deprecated,/moieties/?/countAmount/deprecated,root_moieties_countAmount_deprecated,,Count Amount Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
High,/moieties/?/countAmount/high,root_moieties_countAmount_high,,Count Amount High,FIX INDEXING (BACKEND),,The highest numerical value likely for the average amount. (highest average).,high,Current,number,,,,,,,,,,,,,,
Last Edited,/moieties/?/countAmount/lastEdited,root_moieties_countAmount_lastEdited,,Count Amount Last Edited,FIX INDEXING (BACKEND),,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/moieties/?/countAmount/lastEditedBy,root_moieties_countAmount_lastEditedBy,,Count Amount Last Edited By,FIX INDEXING (BACKEND),,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Low,/moieties/?/countAmount/low,root_moieties_countAmount_low,,Count Amount Low,FIX INDEXING (BACKEND),,The lowest numerical value likely for the average amount. (lowest average).,low,Current,number,,,,,,,,,,,,,,
Non Numeric Value,/moieties/?/countAmount/nonNumericValue,root_moieties_countAmount_nonNumericValue,,Count Amount Non-Numeric Value,FIX INDEXING (BACKEND),,"A textual description of a value which can not be quantified numerically. For example, ""solubility"" may be described quantitatively or it may be described with certain textual categories. Non-numeric values are meant to specify qualitative values and other values not easily described by numbers or ranges of numbers.",nonNumericValue,Current,string,,,,,,,,,,,,,,
References,/moieties/?/countAmount/references,,,Count Amount References,REMOVE LUCENE PATH,,"A list of reference uuids, which refer back to the root record's references, essentially acting as footnotes. The included references are considered to be the supporting origins of the data element in question.",references,Current,array <string>,,,,,,,,,,,,,,
Type,/moieties/?/countAmount/type,root_moieties_countAmount_type,AMOUNT_TYPE,Count Amount Type,FIX INDEXING (BACKEND),,"The type of moiety count amount ('Mol ration', 'weight ratio', etc.)",type,Current,string,,,,,,,,,,,,,,
Units,/moieties/?/countAmount/units,root_moieties_countAmount_units,AMOUNT_UNIT,Count Amount Units,FIX INDEXING (BACKEND),,The amount's unit of measurement.,units,Current,string,,,,,,,,,,,,,,
Uuid,/moieties/?/countAmount/uuid,root_moieties_countAmount_uuid,,Count Amount UUID,FIX INDEXING (BACKEND),,"A Universally Unique Identifier (also sometimes called a GUID) for the element. Most GSRS elements have a uuid to be used for tracking, processing and referencing a record (and any element of that record).",uuid,Current,string,,,,,,,,,,,,,,
Created,/moieties/?/created,root_moieties_created,,Moiety Created,,,A UNIX timestamp marking when the record (or element) was created (or sometimes exported) in its original form.,created,Current,number,,,,,,,,,,,,,,
Created By,/moieties/?/createdBy,root_moieties_createdBy,,Moiety Created By,,,A string representing a user or entity which originally created the record (or element).,createdBy,Current,string,,,,,,,,,,,,,,
Defined Stereocenters Count,/moieties/?/definedStereo,root_moieties_structure_definedStereo,,Moiety Defined Stereo,UPDATE LUCENE PATH & FIX BACKEND,,A count of defined stereocenters.,definedStereo,Current,number,,,,,,,,,,,,,,
Deprecated,/moieties/?/deprecated,root_moieties_deprecated,,Moiety Deprecated,,,A boolean marking for whether the element or record is considered deprecated.,deprecated,Current,boolean,,,,,,,,,,,,,,
Digest,/moieties/?/digest,root_moieties_structure_digest,,Moiety Digest,UPDATE LUCENE PATH & FIX BACKEND,,A hash of the raw structural information encoded.,digest,Current,string,,,,,,,,,,,,,,
E/Z Center Count,/moieties/?/ezCenters,root_moieties_structure_ezCenters,,Moiety Ez Centers,UPDATE LUCENE PATH & FIX BACKEND,,"A count of E/Z, or absolute double bond stereochemistry centers.",ezCenters,Current,number,,,,,,,,,,,,,,
Formula,/moieties/?/formula,root_moieties_structure_formula,,Moiety Formula,UPDATE LUCENE PATH & FIX BACKEND,,The chemical formula of the record.,formula,Current,string,,,,,,,,,,,,,,
Hash,/moieties/?/hash,root_moieties_hash,,Moiety Hash,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,"A hash of the defining structural information. Here, the lychi layer 4 is used.",hash,Deprecated,string,,,,,,,,,,,,,,
Id,/moieties/?/id,root_moieties_id,,Moiety ID,REMOVE FROM DD OR AT LEAST MARK AS DEPRECATED,,The identifier of the structural element itself (this is still a UUID).,id,Deprecated,string,,,,,,,,,,,,,,
Last Edited,/moieties/?/lastEdited,root_moieties_lastEdited,,Moiety Last Edited,,,A UNIX timestamp marking when the record was last edited (or sometimes exported) to form the record (or element) in its current state.,lastEdited,Current,number,,,,,,,,,,,,,,
Last Edited By,/moieties/?/lastEditedBy,root_moieties_lastEditedBy,,Moiety Last Edited By,,,A string representing a user or entity which last edited the record (or element).,lastEditedBy,Current,string,,,,,,,,,,,,,,
Molfile,/moieties/?/molfile,,,Moiety Molfile,REMOVE LUCENE PATH,,The chemical structure in MDL Molfile format (V2000).,molfile,Current,string,,,,,,,,,,,,,,
